Date,ATM_IV_30D,PUT_IV_30D,CALL_IV_30D,SKEW_30D,ATM_IV_14D,PUT_IV_14D,CALL_IV_14D,SKEW_14D
2021-01-01,0.18699100238959565,0.20539661096710338,0.17417184097005634,0.031224769997047038,0.17029408222177847,0.19797761962718832,0.16698884312146398,0.03098877650572434
2021-01-04,0.18873177100435753,0.20887493633429588,0.17641080743209933,0.03246412890219654,0.17123610275265774,0.20945738368801134,0.16507949557068638,0.044377888117324966
2021-01-07,0.21464865909603667,0.2368253015180925,0.20209038488408096,0.034734916634011535,0.17780621313584266,0.2119319295937263,0.1713685820771884,0.040563347516537895
2021-01-11,0.2325417696158938,0.25409557269652855,0.18121993120249374,0.07287564149403482,0.18793090465131737,0.22900747588497644,0.17854892766850078,0.05045854821647566
2021-01-12,0.2361663586629157,0.26104831552802965,0.20894978669675401,0.05209852883127564,0.1909246364364875,0.2443558504853222,0.17427019228336185,0.07008565820196035
2021-01-13,0.23772866859900743,0.2585968201844513,0.22504206395828033,0.033554756226170955,0.19120003825443901,0.24223220105891766,0.1813396452880716,0.060892555770846055
2021-01-14,0.23249192591527496,0.25491671721071707,0.2213303285571575,0.033586388653559576,0.1812454278565471,0.23335895586020428,0.1696230182801166,0.06373593758008766
2021-01-15,0.25239407072867076,0.26665932645236806,0.23660593371910202,0.03005339273326603,0.20672147742524244,0.2468191802952188,0.19975633814510513,0.047062842150113644
2021-01-19,0.2325434913541745,0.24529569555324693,0.2188092948659735,0.026486400687273426,0.21769146428225936,0.25518855643048644,0.20988194409974717,0.04530661233073926
2021-01-20,0.21352493281327026,0.23065559737544866,0.19902876703368566,0.031626830341762995,0.20196919965414722,0.23319087087592066,0.19147382517270095,0.04171704570321972
2021-01-21,0.22161745393885668,0.23981369739562283,0.20687779813881405,0.032935899256808815,0.22362485925185271,0.2564561873356612,0.20730900960886478,0.04914717772679644
2021-01-22,0.22349762172963744,0.23449454969845057,0.2110550948102551,0.02343945488819548,0.23663133260208818,0.2537577804326808,0.22724760509170716,0.026510175340973646
2021-01-25,0.22773244570753912,0.24568838656327482,0.21342082168211077,0.03226756488116405,0.24819134435273277,0.2657946359557597,0.24353256264222825,0.02226207331353144
2021-01-27,0.2403431568189225,0.25045280308885176,0.23054850712074582,0.019904295968105945,0.2591235437301568,0.27167885818338317,0.25695635412346707,0.014722504059916122
2021-01-28,0.240128283018042,0.24370238417423043,0.2326528976928793,0.011049486481351123,0.25652184160618785,0.2775073012961897,0.25581877685283594,0.021688524443353785
