feature,corr_strict,corr_loose,corr_gain
NIFTY_prev_return,-0.7358183345044255,-0.20096310809787798,0.5348552264065475
US_VIX_prev_chg1d,0.6066377435381436,0.13314169252571725,0.4734960510124263
US_SP500_prev_return,-0.540423922629215,-0.17005848590040326,0.3703654367288117
India_VIX_prev_chg1d,0.3741027047182688,-0.11933150358919233,0.2547712011290765
US_VIX_prev_close,0.25547798723270043,-0.0443695793549831,0.21110840787771734
Smile_Curv_7D_prev,0.32347588933112237,0.18648882183657065,0.13698706749455172
Smile_Skew_7D_prev,0.056770277909652625,0.004121743455849277,0.052648534453803346
Smile_Curv_14D_prev,0.14994617428695328,0.22317981901653192,-0.07323364472957863
SKEW_30D_prev,-0.10252712351282728,-0.2085197866674146,-0.10599266315458733
SKEW_14D_prev,-0.09027973790079762,-0.23566809939808414,-0.1453883614972865
Smile_Skew_30D_prev,-0.05550950225327765,0.2067348963126652,-0.15122539405938756
India_VIX_prev_close,0.02394221483025236,-0.20820717256935747,-0.18426495773910512
Smile_Curv_30D_prev,0.13254389838076944,0.3646972011814615,-0.23215330280069205
Smile_Skew_14D_prev,0.04491618720506538,0.31432264919363706,-0.26940646198857165
