Date,DTE_7D,Smile_Level_7D,Smile_Skew_7D,Smile_Curv_7D,N_Points_7D,Fit_RMSE_7D,DTE_14D,Smile_Level_14D,Smile_Skew_14D,Smile_Curv_14D,N_Points_14D,Fit_RMSE_14D,DTE_30D,Smile_Level_30D,Smile_Skew_30D,Smile_Curv_30D,N_Points_30D,Fit_RMSE_30D,Skew_Term_Slope_30_14,Curv_Term_Slope_30_14,Skew_Term_Slope_14_7,Curv_Term_Slope_14_7,Skew_Term_Slope,Curv_Term_Slope
2021-01-01,6,0.14888203766360308,-0.5169586000666446,36.456961602283364,93.0,0.014320702428105398,13,0.16187511805152113,-0.35168803101729285,15.559373195711519,62.0,0.007969390443432839,27,0.18020737594256234,-0.3983006548037775,3.661645422264752,98.0,0.007255437049872264,-0.046612623786484675,-11.897727773446768,0.16527056904935178,-20.897588406571845,-0.046612623786484675,-11.897727773446768
2021-01-04,10,0.1618894468720514,-0.5892716632030279,23.062267196450655,71.0,0.007253254239500135,17,0.17453811248833098,-0.548855965570829,10.377294765903976,35.0,0.0027610335124288927,24,0.17914240250314215,-0.4846039474721777,5.211372389843003,97.0,0.007845484921055006,0.06425201809865133,-5.165922376060973,0.04041569763219888,-12.68497243054668,0.06425201809865133,-5.165922376060973
2021-01-07,7,0.16096016261280563,-0.6988292204242725,32.130241348115234,89.0,0.014963339256283476,14,0.17172019803527597,-0.4482312442785993,14.481715914511842,48.0,0.005686554789214821,21,0.1788228734233755,-0.4567745905654651,6.635848374865069,101.0,0.007192333476995157,-0.008543346286865816,-7.845867539646773,0.25059797614567325,-17.648525433603393,-0.008543346286865816,-7.845867539646773
2021-01-11,10,0.18437709653452933,-0.8445909989341785,20.118377163787894,66.0,0.00546249059875075,17,0.1887317123059184,-0.7347745444948739,9.672684705992474,104.0,0.0068251259461932015,17,0.1887317123059184,-0.7347745444948739,9.672684705992474,104.0,0.0068251259461932015,0.0,0.0,0.10981645443930466,-10.44569245779542,0.0,0.0
2021-01-12,9,0.18147146588903268,-0.9391599414363034,27.075487986660413,73.0,0.006689275613187725,16,0.19256816494814563,-0.7403676059670132,10.011480202159028,105.0,0.00798424559255579,16,0.19256816494814563,-0.7403676059670132,10.011480202159028,105.0,0.00798424559255579,0.0,0.0,0.1987923354692902,-17.064007784501385,0.0,0.0
2021-01-13,8,0.178978216099402,-0.8293747256010155,30.5965702425377,84.0,0.015376442384256313,15,0.19101361540964684,-0.6099444428205887,14.214834837263147,103.0,0.007044155355984694,43,0.23240534116891132,-0.30025133484142413,2.0193764320622103,65.0,0.005279294557137638,0.30969310797916455,-12.195458405200938,0.21943028278042687,-16.381735405274554,0.30969310797916455,-12.195458405200938
2021-01-14,7,0.15972583419271905,-0.7595183329194697,33.81167164937844,85.0,0.005654361478015752,14,0.17782563167705762,-0.6626830110774151,15.566607545215623,107.0,0.012967842835567308,21,0.23002257865746253,-0.4008147496518943,9.341815445212905,23.0,0.0030861309196361037,0.26186826142552083,-6.224792100002718,0.09683532184205457,-18.245064104162815,0.26186826142552083,-6.224792100002718
2021-01-15,6,0.1934455122591216,-0.6120202015438081,31.379904693989445,112.0,0.01314467269692079,13,0.19651823014237021,-0.6385646992208143,14.587264207758455,109.0,0.012101318320369757,20,0.2539454659019871,-0.38238217031854127,5.24818696231765,35.0,0.004812949925185091,0.256182528902273,-9.339077245440805,-0.026544497677006174,-16.79264048623099,0.256182528902273,-9.339077245440805
2021-01-19,9,0.1787601043627162,-0.6633348039500166,25.43803062136843,105.0,0.015333901238764026,16,0.22328051338836133,-0.3870173942925288,6.485681632409284,55.0,0.005084050483481049,37,0.2236342275387017,-0.22208411704329695,0.6968155573155306,73.0,0.004961403904584842,0.16493327724923185,-5.788866075093753,0.27631740965748786,-18.952348988959145,0.16493327724923185,-5.788866075093753
2021-01-20,8,0.15004152296206924,-0.6683703660094515,32.48239567771664,103.0,0.011258055096485668,15,0.20671863647839445,-0.4060522557404431,7.163554645204721,61.0,0.004736299354474803,36,0.20975020107822537,-0.3065301944598402,1.7212498128666178,71.0,0.0033962996898997673,0.09952206128060292,-5.442304832338103,0.2623181102690084,-25.31884103251192,0.09952206128060292,-5.442304832338103
